Year,Month,Day,Hour,Value
2006,1,1,0,5957
2006,1,1,1,5837
2006,1,1,2,5592
2006,1,1,3,5383
2006,1,1,4,5201
2006,1,1,5,5073
2006,1,1,6,5005
2006,1,1,7,4946
2006,1,1,8,4828
2006,1,1,9,4680
2006,1,1,10,4669
2006,1,1,11,4735
2006,1,1,12,4682
2006,1,1,13,4704
2006,1,1,14,4739
2006,1,1,15,4747
2006,1,1,16,4811
2006,1,1,17,5037
2006,1,1,18,5638
2006,1,1,19,5823
2006,1,1,20,5746
2006,1,1,21,5726
2006,1,1,22,5639
2006,1,1,23,5431
2006,1,2,0,5139
2006,1,2,1,4923
2006,1,2,2,4789
2006,1,2,3,4670
2006,1,2,4,4656
2006,1,2,5,4656
2006,1,2,6,4693
2006,1,2,7,4782
2006,1,2,8,4871
2006,1,2,9,4965
2006,1,2,10,5117
2006,1,2,11,5113
2006,1,2,12,5155
2006,1,2,13,5175
2006,1,2,14,5218
2006,1,2,15,5199
2006,1,2,16,5253
2006,1,2,17,5519
2006,1,2,18,6021
2006,1,2,19,6172
2006,1,2,20,6165
2006,1,2,21,6067
2006,1,2,22,5838
2006,1,2,23,5624
2006,1,3,0,5295
2006,1,3,1,5079
2006,1,3,2,4921
2006,1,3,3,4836
2006,1,3,4,4803
2006,1,3,5,4798
2006,1,3,6,4903
2006,1,3,7,5231
2006,1,3,8,5687
2006,1,3,9,6008
2006,1,3,10,6185
2006,1,3,11,6278
2006,1,3,12,6335
2006,1,3,13,6370
2006,1,3,14,6406
2006,1,3,15,6337
2006,1,3,16,6238
2006,1,3,17,6353
2006,1,3,18,6777
2006,1,3,19,6841
2006,1,3,20,6765
2006,1,3,21,6604
2006,1,3,22,6309
2006,1,3,23,6007
2006,1,4,0,5707
2006,1,4,1,5452
2006,1,4,2,5254
2006,1,4,3,5181
2006,1,4,4,5126
2006,1,4,5,5210
2006,1,4,6,5329
2006,1,4,7,5541
2006,1,4,8,6035
2006,1,4,9,6289
2006,1,4,10,6365
2006,1,4,11,6488
2006,1,4,12,6601
2006,1,4,13,6649
2006,1,4,14,6654
2006,1,4,15,6543
2006,1,4,16,6494
2006,1,4,17,6668
2006,1,4,18,7057
2006,1,4,19,7154
2006,1,4,20,7065
2006,1,4,21,6933
2006,1,4,22,6584
2006,1,4,23,6267
2006,1,5,0,5916
2006,1,5,1,5638
2006,1,5,2,5501
2006,1,5,3,5371
2006,1,5,4,5365
2006,1,5,5,5397
2006,1,5,6,5579
2006,1,5,7,5778
2006,1,5,8,6274
2006,1,5,9,6563
2006,1,5,10,6714
2006,1,5,11,6794
2006,1,5,12,6780
2006,1,5,13,6867
2006,1,5,14,6915
2006,1,5,15,6856
2006,1,5,16,6728
2006,1,5,17,6678
2006,1,5,18,7247
2006,1,5,19,7374
2006,1,5,20,7262
2006,1,5,21,7161
2006,1,5,22,6813
2006,1,5,23,6463
2006,1,6,0,6088
2006,1,6,1,5824
2006,1,6,2,5688
2006,1,6,3,5627
2006,1,6,4,5550
2006,1,6,5,5616
2006,1,6,6,5734
2006,1,6,7,6026
2006,1,6,8,6458
2006,1,6,9,6623
2006,1,6,10,6579
2006,1,6,11,6606
2006,1,6,12,6523
2006,1,6,13,6555
2006,1,6,14,6640
2006,1,6,15,6475
2006,1,6,16,6398
2006,1,6,17,6545
2006,1,6,18,6983
2006,1,6,19,7157
2006,1,6,20,7100
2006,1,6,21,6955
2006,1,6,22,6713
2006,1,6,23,6325
2006,1,7,0,5969
2006,1,7,1,5697
2006,1,7,2,5625
2006,1,7,3,5503
2006,1,7,4,5478
2006,1,7,5,5467
2006,1,7,6,5512
2006,1,7,7,5692
2006,1,7,8,5815
2006,1,7,9,5905
2006,1,7,10,5914
2006,1,7,11,5969
2006,1,7,12,5871
2006,1,7,13,5809
2006,1,7,14,5813
2006,1,7,15,5697
2006,1,7,16,5714
2006,1,7,17,5887
2006,1,7,18,6447
2006,1,7,19,6706
2006,1,7,20,6637
2006,1,7,21,6610
2006,1,7,22,6421
2006,1,7,23,6136
2006,1,8,0,5879
2006,1,8,1,5670
2006,1,8,2,5487
2006,1,8,3,5359
2006,1,8,4,5309
2006,1,8,5,5296
2006,1,8,6,5331
2006,1,8,7,5324
2006,1,8,8,5437
2006,1,8,9,5467
2006,1,8,10,5580
2006,1,8,11,5560
2006,1,8,12,5500
2006,1,8,13,5510
2006,1,8,14,5542
2006,1,8,15,5486
2006,1,8,16,5495
2006,1,8,17,5666
2006,1,8,18,6367
2006,1,8,19,6686
2006,1,8,20,6632
2006,1,8,21,6556
2006,1,8,22,6311
2006,1,8,23,6018
2006,1,9,0,5667
2006,1,9,1,5395
2006,1,9,2,5252
2006,1,9,3,5235
2006,1,9,4,5158
2006,1,9,5,5226
2006,1,9,6,5414
2006,1,9,7,5982
2006,1,9,8,6835
2006,1,9,9,7102
2006,1,9,10,7192
2006,1,9,11,7182
2006,1,9,12,7152
2006,1,9,13,7174
2006,1,9,14,7208
2006,1,9,15,7114
2006,1,9,16,6973
2006,1,9,17,7006
2006,1,9,18,7415
2006,1,9,19,7605
2006,1,9,20,7441
2006,1,9,21,7348
2006,1,9,22,7047
2006,1,9,23,6582
2006,1,10,0,6185
2006,1,10,1,5886
2006,1,10,2,5851
2006,1,10,3,5689
2006,1,10,4,5659
2006,1,10,5,5756
2006,1,10,6,5923
2006,1,10,7,6401
2006,1,10,8,7064
2006,1,10,9,7249
2006,1,10,10,7186
2006,1,10,11,7095
2006,1,10,12,7122
2006,1,10,13,7116
2006,1,10,14,7196
2006,1,10,15,7092
2006,1,10,16,6982
2006,1,10,17,6993
2006,1,10,18,7414
2006,1,10,19,7552
2006,1,10,20,7526
2006,1,10,21,7384
2006,1,10,22,7082
2006,1,10,23,6687
2006,1,11,0,6284
2006,1,11,1,6018
2006,1,11,2,5747
2006,1,11,3,5623
2006,1,11,4,5605
2006,1,11,5,5677
2006,1,11,6,5860
2006,1,11,7,6362
2006,1,11,8,7119
2006,1,11,9,7431
2006,1,11,10,7333
2006,1,11,11,7198
2006,1,11,12,7129
2006,1,11,13,7120
2006,1,11,14,7116
2006,1,11,15,7129
2006,1,11,16,7018
2006,1,11,17,7018
2006,1,11,18,7421
2006,1,11,19,7710
2006,1,11,20,7555
2006,1,11,21,7426
2006,1,11,22,7143
2006,1,11,23,6684
2006,1,12,0,6318
2006,1,12,1,6036
2006,1,12,2,5939
2006,1,12,3,5793
2006,1,12,4,5715
2006,1,12,5,5798
2006,1,12,6,5981
2006,1,12,7,6468
2006,1,12,8,7205
2006,1,12,9,7474
2006,1,12,10,7419
2006,1,12,11,7330
2006,1,12,12,7190
2006,1,12,13,7217
2006,1,12,14,7275
2006,1,12,15,7206
2006,1,12,16,6997
2006,1,12,17,7015
2006,1,12,18,7476
2006,1,12,19,7687
2006,1,12,20,7627
2006,1,12,21,7519
2006,1,12,22,7290
2006,1,12,23,6832
2006,1,13,0,6332
2006,1,13,1,6046
2006,1,13,2,5954
2006,1,13,3,5857
2006,1,13,4,5859
2006,1,13,5,5930
2006,1,13,6,6135
2006,1,13,7,6555
2006,1,13,8,7263
2006,1,13,9,7540
2006,1,13,10,7532
2006,1,13,11,7469
2006,1,13,12,7330
2006,1,13,13,7333
2006,1,13,14,7421
2006,1,13,15,7225
2006,1,13,16,7048
2006,1,13,17,7181
2006,1,13,18,7495
2006,1,13,19,7653
2006,1,13,20,7615
2006,1,13,21,7446
2006,1,13,22,7067
2006,1,13,23,6689
2006,1,14,0,6346
2006,1,14,1,6139
2006,1,14,2,6000
2006,1,14,3,5942
2006,1,14,4,5847
2006,1,14,5,5914
2006,1,14,6,6018
2006,1,14,7,6187
2006,1,14,8,6523
2006,1,14,9,6736
2006,1,14,10,6914
2006,1,14,11,6933
2006,1,14,12,6878
2006,1,14,13,6674
2006,1,14,14,6549
2006,1,14,15,6473
2006,1,14,16,6423
2006,1,14,17,6576
2006,1,14,18,7000
2006,1,14,19,7348
2006,1,14,20,7287
2006,1,14,21,7149
2006,1,14,22,6904
2006,1,14,23,6497
2006,1,15,0,6140
2006,1,15,1,5907
2006,1,15,2,5760
2006,1,15,3,5638
2006,1,15,4,5566
2006,1,15,5,5533
2006,1,15,6,5585
2006,1,15,7,5562
2006,1,15,8,5703
2006,1,15,9,5772
2006,1,15,10,5855
2006,1,15,11,5901
2006,1,15,12,5888
2006,1,15,13,5862
2006,1,15,14,5798
2006,1,15,15,5721
2006,1,15,16,5759
2006,1,15,17,5959
2006,1,15,18,6545
2006,1,15,19,6890
2006,1,15,20,6927
2006,1,15,21,6826
2006,1,15,22,6541
2006,1,15,23,6225
2006,1,16,0,5868
2006,1,16,1,5695
2006,1,16,2,5489
2006,1,16,3,5399
2006,1,16,4,5409
2006,1,16,5,5483
2006,1,16,6,5720
2006,1,16,7,6341
2006,1,16,8,7147
2006,1,16,9,7437
2006,1,16,10,7536
2006,1,16,11,7385
2006,1,16,12,7345
2006,1,16,13,7394
2006,1,16,14,7440
2006,1,16,15,7297
2006,1,16,16,7102
2006,1,16,17,7133
2006,1,16,18,7565
2006,1,16,19,7811
2006,1,16,20,7748
2006,1,16,21,7635
2006,1,16,22,7286
2006,1,16,23,6855
2006,1,17,0,6512
2006,1,17,1,6266
2006,1,17,2,6170
2006,1,17,3,6089
2006,1,17,4,6064
2006,1,17,5,6050
2006,1,17,6,6285
2006,1,17,7,6741
2006,1,17,8,7473
2006,1,17,9,7791
2006,1,17,10,7929
2006,1,17,11,7806
2006,1,17,12,7705
2006,1,17,13,7628
2006,1,17,14,7658
2006,1,17,15,7525
2006,1,17,16,7265
2006,1,17,17,7362
2006,1,17,18,7695
2006,1,17,19,7976
2006,1,17,20,7895
2006,1,17,21,7766
2006,1,17,22,7305
2006,1,17,23,6938
2006,1,18,0,6577
2006,1,18,1,6394
2006,1,18,2,6226
2006,1,18,3,6187
2006,1,18,4,6122
2006,1,18,5,6203
2006,1,18,6,6381
2006,1,18,7,6816
2006,1,18,8,7478
2006,1,18,9,7766
2006,1,18,10,7772
2006,1,18,11,7665
2006,1,18,12,7487
2006,1,18,13,7452
2006,1,18,14,7570
2006,1,18,15,7367
2006,1,18,16,7157
2006,1,18,17,7205
2006,1,18,18,7491
2006,1,18,19,7758
2006,1,18,20,7642
2006,1,18,21,7540
2006,1,18,22,7209
2006,1,18,23,6859
2006,1,19,0,6407
2006,1,19,1,5909
2006,1,19,2,5950
2006,1,19,3,5850
2006,1,19,4,5882
2006,1,19,5,5925
2006,1,19,6,6034
2006,1,19,7,6477
2006,1,19,8,7111
2006,1,19,9,7511
2006,1,19,10,7396
2006,1,19,11,7354
2006,1,19,12,7267
2006,1,19,13,7305
2006,1,19,14,7336
2006,1,19,15,7245
2006,1,19,16,7107
2006,1,19,17,7166
2006,1,19,18,7586
2006,1,19,19,7869
2006,1,19,20,7683
2006,1,19,21,7515
2006,1,19,22,7278
2006,1,19,23,6804
2006,1,20,0,6475
2006,1,20,1,6194
2006,1,20,2,5982
2006,1,20,3,5935
2006,1,20,4,5980
2006,1,20,5,5972
2006,1,20,6,6126
2006,1,20,7,6551
2006,1,20,8,7193
2006,1,20,9,7383
2006,1,20,10,7483
2006,1,20,11,7358
2006,1,20,12,7285
2006,1,20,13,7339
2006,1,20,14,7354
2006,1,20,15,7177
2006,1,20,16,7061
2006,1,20,17,7095
2006,1,20,18,7421
2006,1,20,19,7678
2006,1,20,20,7471
2006,1,20,21,7370
2006,1,20,22,6987
2006,1,20,23,6648
2006,1,21,0,6302
2006,1,21,1,6023
2006,1,21,2,5926
2006,1,21,3,5861
2006,1,21,4,5888
2006,1,21,5,5959
2006,1,21,6,5956
2006,1,21,7,6076
2006,1,21,8,6361
2006,1,21,9,6528
2006,1,21,10,6693
2006,1,21,11,6735
2006,1,21,12,6762
2006,1,21,13,6720
2006,1,21,14,6633
2006,1,21,15,6515
2006,1,21,16,6546
2006,1,21,17,6635
2006,1,21,18,7106
2006,1,21,19,7383
2006,1,21,20,7275
2006,1,21,21,7128
2006,1,21,22,6797
2006,1,21,23,6442
2006,1,22,0,6105
2006,1,22,1,5834
2006,1,22,2,5597
